original_title,director,cast,production_companies,genres,keywords,runtime,release_date,release_year,budget,budget_adj,revenue,revenue_adj,vote_count,vote_average,popularity,has_homepage
Martyrs,Kevin Goetz|Michael Goetz,Troian Bellisario|Bailey Noble|Kate Burton|Caitlin Carmichael|Melissa Tracy,Blumhouse Productions|The Safran Company|Temple Hill Entertainment,Drama|Horror|Thriller,child abuse|sadism|female friendship|afterlife|buried alive,86,2015-12-31,2015,0,0,0,0,43,5.0,0.37288899999999997,False
Open Season: Scared Silly,David Feiss,Garry Chalk|Kathleen Barr|Willa Townsend|Melissa Sturm|Trevor Devall,Sony Pictures Animation,Animation|Comedy|Family|Adventure,bear|open season|elliot|boog,85,2015-12-31,2015,0,0,0,0,33,5.6,0.7739090000000001,True
Anomalisa,Duke Johnson|Charlie Kaufman,Jennifer Jason Leigh|David Thewlis|Tom Noonan,Starburns Industries,Animation|Comedy|Drama|Romance,sex|depression|existentialism,90,2015-12-30,2015,8000000,7359996,3759286,3458541,259,6.7,1.1252389999999999,True
Harry Price: Ghost Hunter,Alex Pillai,Rafe Spall|Cara Theobold|Tom Ward|Sophie Stanton|Zoe Boyle,Bentley Productions,Drama|Horror,london|based on novel|medium|ghost hunting|ghost hunter,90,2015-12-27,2015,0,0,0,0,10,5.3,0.088764,False
And Then There Were None,Craig Viveiros,Maeve Dermody|Aidan Turner|Charles Dance|Douglas Booth|Sam Neill,British Broadcasting Corporation (BBC)|Mammoth Screen|A&E Television Networks|Agatha Christie Ltd|Acorn Productions,Mystery|Drama,england|based on novel|island|murder|agatha christie,168,2015-12-26,2015,0,0,0,0,37,7.7,0.112284,True
Daddy's Home,Sean Anders,Will Ferrell|Mark Wahlberg|Linda Cardellini|Thomas Haden Church|Hannibal Buress,Paramount Pictures|Gary Sanchez Productions|Good Universe|Red Granite Pictures,Comedy,daddys home,96,2015-12-25,2015,50000000,45999979,240360392,221131463,568,5.7,1.904898,True
The Hateful Eight,Quentin Tarantino,Samuel L. Jackson|Kurt Russell|Jennifer Jason Leigh|Walton Goggins|DemiÃ¡n Bichir,Double Feature Films|The Weinstein Company|FilmColony,Crime|Drama|Mystery|Western,bounty hunter|wyoming|mountains|hangman|voice over narration,167,2015-12-25,2015,44000000,40479982,155760117,143299244,2389,7.4,5.8984,True
The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,Leonardo DiCaprio|Tom Hardy|Will Poulter|Domhnall Gleeson|Paul Anderson,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,Western|Drama|Adventure|Thriller,father-son relationship|rape|based on novel|mountains|winter,156,2015-12-25,2015,135000000,124199945,532950503,490314247,3929,7.2,9.1107,True
Doctor Who: The Husbands of River Song,Douglas Mackinnon,Peter Capaldi|Alex Kingston|Greg Davies|Matt Lucas|Phillip Rhys,British Broadcasting Corporation (BBC),Drama|Science Fiction|Comedy,,60,2015-12-25,2015,0,0,0,0,31,8.0,0.068741,True
Joy,David O. Russell,Jennifer Lawrence|Bradley Cooper|Robert De Niro|Dascha Polanco|Edgar RamÃ­rez,Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment,Comedy|Drama,biography,124,2015-12-24,2015,60000000,55199975,101134059,93043293,1001,6.4,2.793297,True
Brothers of the Wind,Gerado Olivares|Otmar Penker,Manuel Camacho|Jean Reno|Tobias Moretti|Eva Kuen,Terra Mater Factual Studios,Adventure|Drama|Family,eagle|learning to fly|eagle's feather|father son conflict|bird's nest,98,2015-12-24,2015,0,0,0,0,11,7.5,1.128081,True
Where to Invade Next,Michael Moore,Michael Moore|Krista Kiuru|Tim Walker,Dog Eat Dog Films|IMG Films,Documentary,germany|italy|france|usa|portugal,120,2015-12-23,2015,0,0,0,0,67,7.2,0.427116,True
Capsule,Andrew Martin,Edmund Kingsley|David Wayman|Nigel Barber|Lisa Greenwood|Gil Kolirin,Ecaveo Capital Partners|Hermes Space Industries,Drama|History|Thriller|Science Fiction,space|astronaut,91,2015-12-23,2015,1300000,1195999,0,0,11,5.3,0.142759,True
Taylor Swift: The 1989 World Tour - Live,Jonas Ã…kerlund,Taylor Swift|Ellen DeGeneres|Cara Delevingne|Lena Dunham|Selena Gomez,Apple Inc.,Documentary|Music,pop culture|pop singer|pop star|music|concert,132,2015-12-20,2015,0,0,0,0,15,7.6,0.209036,False
Mythica: The Necromancer,A. Todd Smith,Melanie Stone|Adam Johnson|Kevin Sorbo|Nicola Posener|Jake Stormoen,Arrowstorm Entertainment|Camera 40 Productions|Bellpond Films,Fantasy|Action|Adventure,sword|magic|sorcery|necromancer,0,2015-12-19,2015,0,0,0,0,11,5.4,1.876037,True
A Christmas Melody,Mariah Carey,Lacey Chabert|Mariah Carey|Brennan Elliott|Kathy Najimy|Kevin Chamberlin,,Romance|Music|TV Movie|Comedy,christmas,83,2015-12-19,2015,0,0,0,0,12,5.5,0.21538600000000002,False
Extraction,Steven C. Miller,Bruce Willis|Gina Carano|Kellan Lutz|D. B. Sweeney|Dan Bilzerian,Emmett/Furla Films|Oasis Films|Aperture Entertainment|Twirly Films Limited,Action|Thriller,terrorist|kidnapping|ex cia agent|rescue operation,83,2015-12-18,2015,0,0,16775,15432,57,4.2,0.872149,True
Sisters,Jason Moore,Tina Fey|Amy Poehler|John Leguizamo|Ike Barinholtz|Maya Rudolph,Little Stranger,Comedy,sister sister relationship|childhood home,118,2015-12-18,2015,30000000,27599987,105011053,96610126,399,5.9,1.3766049999999999,True
Alvin and the Chipmunks: The Road Chip,Walt Becker,Jason Lee|Justin Long|Bella Thorne|Matthew Gray Gubler|Jesse McCartney,Regency Enterprises|Fox 2000 Pictures|Sunswept Entertainment|Bagdasarian Productions|TSG Entertainment,Adventure|Animation|Comedy|Family,chipmunk|cgi|talking animal|aftercreditsstinger|duringcreditsstinger,92,2015-12-17,2015,0,0,233755553,215055014,278,5.7,1.841779,True
Star Wars: The Force Awakens,J.J. Abrams,Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley,Lucasfilm|Truenorth Productions|Bad Robot,Action|Adventure|Science Fiction|Fantasy,android|spaceship|jedi|space opera|3d,136,2015-12-15,2015,200000000,183999919,2068178225,1902723129,5292,7.5,11.173103999999999,True
Childhood's End,Nick Hurran,Mike Vogel|Osy Ikhile|Daisy Betts|Georgina Haig|Charles Dance,,Thriller|TV Movie|Science Fiction|Drama,,246,2015-12-14,2015,0,0,0,0,21,6.2,0.031635,False
American Hero,Nick Love,Stephen Dorff|Eddie Griffin|Bill Billions|Jonathan Billions,Screen Media Films|Vertigo Films|Protagonist Pictures,Action|Comedy|Science Fiction,,86,2015-12-11,2015,0,0,0,0,31,5.2,0.28365,True
The Ridiculous 6,Frank Coraci,Adam Sandler|Taylor Lautner|Steve Buscemi|Terry Crews|Danny Trejo,Happy Madison Productions,Comedy|Western,wild west,119,2015-12-11,2015,60000000,55199975,0,0,252,4.8,0.913085,True
The Girl King,Mika KaurismÃ¤ki,Malin Buska|Sarah Gadon|Michael Nyqvist|Lucas Bryant|Laura Birn,Starhaus Filmproduktion|Anagram Produktion|Galafilm Productions|Triptych Media|Marianna Films,Drama|History|Romance,gay|sweden|queen|banquet|based on true story,106,2015-12-11,2015,0,0,0,0,12,6.1,0.39018800000000003,False
The Big Short,Adam McKay,Christian Bale|Steve Carell|Ryan Gosling|Brad Pitt|Melissa Leo,Paramount Pictures|Plan B Entertainment|Regency Enterprises,Comedy|Drama,bank|fraud|biography|wall street|finances,130,2015-12-11,2015,28000000,25759988,133346506,122678731,1545,7.3,4.648046,True
Close Range,Isaac Florentine,Scott Adkins|Nick Chinlund|Caitlin Keats|Jake La Botz|Tony Perez,Bleiberg Entertainment|Compound B|Underdogg Entertainment|Entropy,Crime|Action,,80,2015-12-11,2015,0,0,0,0,41,5.0,0.23949600000000001,True
Don Verdean,Jared Hess,Sam Rockwell|Jemaine Clement|Amy Ryan|Danny McBride|Will Forte,Lions Gate Films,Comedy,pastor|archaeologist|holy land,96,2015-12-11,2015,0,0,0,0,26,4.0,0.20435599999999998,False
Merry Kissmas,Michael Feifer,Karissa Staples|Brant Daugherty|Brittany Underwood|Ion Overman|Doris Roberts,,Romance|TV Movie,,90,2015-12-05,2015,0,0,0,0,10,7.6,0.133921,False
A Very Murray Christmas,Sofia Coppola,Bill Murray|Paul Shaffer|George Clooney|Miley Cyrus|Michael Cera,American Zoetrope|South Beach Productions|Departed Productions,Comedy|Music,woman director|christmas,56,2015-12-04,2015,0,0,0,0,101,5.4,0.43959799999999893,True
