month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2017-09,New York,2933.0,1164.0,8392.0,16213.0,998.0,185,0.0,0.0,1.0,1.0,21.0,20.0,4.0,12.0,43.0,1.0,3.0,5.0,348.0,328.0,19.0,7.0,4.0,1.0,30703
2017-08,New York,2952.0,1600.0,9159.0,13239.0,891.0,158,0.0,1.0,0.0,1.0,16.0,20.0,1.0,18.0,23.0,1.0,5.0,4.0,380.0,280.0,12.0,7.0,9.0,2.0,28779
2017-07,New York,2315.0,1053.0,9212.0,11301.0,879.0,170,0.0,1.0,0.0,0.0,14.0,17.0,0.0,21.0,17.0,0.0,2.0,2.0,356.0,187.0,16.0,9.0,3.0,1.0,25576
2017-06,New York,2602.0,1082.0,10784.0,11309.0,921.0,196,0.0,0.0,0.0,0.0,16.0,14.0,2.0,14.0,30.0,1.0,0.0,4.0,399.0,273.0,18.0,8.0,2.0,2.0,27677
2017-05,New York,3224.0,1622.0,11633.0,12857.0,957.0,183,0.0,0.0,3.0,1.0,22.0,13.0,0.0,14.0,36.0,0.0,2.0,1.0,443.0,247.0,22.0,7.0,7.0,0.0,31294
2017-04,New York,2879.0,1523.0,11913.0,14591.0,1111.0,204,0.0,2.0,0.0,0.0,24.0,15.0,6.0,9.0,33.0,0.0,2.0,12.0,428.0,306.0,32.0,7.0,15.0,1.0,33113
2017-03,New York,3138.0,1635.0,12788.0,15591.0,1245.0,204,0.0,0.0,0.0,0.0,21.0,23.0,6.0,23.0,26.0,0.0,2.0,4.0,528.0,323.0,32.0,6.0,12.0,1.0,35608
2017-02,New York,2794.0,1340.0,11465.0,14080.0,1128.0,179,0.0,0.0,0.0,2.0,20.0,19.0,2.0,11.0,18.0,0.0,2.0,4.0,486.0,304.0,30.0,11.0,12.0,3.0,31910
2017-01,New York,3479.0,1557.0,11059.0,13412.0,1062.0,171,0.0,0.0,0.0,1.0,16.0,18.0,8.0,9.0,21.0,0.0,10.0,6.0,438.0,254.0,29.0,11.0,5.0,1.0,31567
2016-12,New York,2469.0,1126.0,12074.0,22585.0,1029.0,248,0.0,1.0,1.0,1.0,20.0,28.0,6.0,0.0,4.0,1.0,0.0,2.0,378.0,285.0,18.0,8.0,7.0,1.0,40292
2016-11,New York,3702.0,720.0,11157.0,25229.0,1245.0,248,0.0,5.0,1.0,0.0,15.0,52.0,4.0,0.0,7.0,0.0,6.0,6.0,309.0,264.0,34.0,2.0,3.0,0.0,43009
2016-10,New York,3941.0,0.0,10820.0,21094.0,1117.0,219,0.0,2.0,1.0,0.0,20.0,16.0,4.0,0.0,1.0,0.0,3.0,4.0,380.0,245.0,22.0,4.0,10.0,4.0,37907
2016-09,New York,4362.0,0.0,9700.0,17804.0,884.0,208,0.0,0.0,0.0,0.0,12.0,15.0,2.0,0.0,4.0,0.0,2.0,3.0,322.0,249.0,14.0,7.0,7.0,4.0,33599
2016-08,New York,4135.0,0.0,10716.0,14278.0,961.0,187,0.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,196.0,200.0,59.0,21.0,12.0,1.0,30808
2016-07,New York,3738.0,0.0,10900.0,13073.0,1131.0,204,0.0,1.0,0.0,0.0,16.0,10.0,5.0,0.0,1.0,0.0,,,265.0,149.0,12.0,4.0,3.0,1.0,29513
2016-06,New York,4257.0,0.0,10062.0,12213.0,1205.0,200,0.0,0.0,2.0,0.0,16.0,18.0,1.0,1.0,2.0,0.0,,,284.0,174.0,14.0,14.0,7.0,2.0,28472
2016-05,New York,4053.0,0.0,10118.0,10815.0,684.0,151,0.0,0.0,1.0,0.0,10.0,18.0,0.0,0.0,2.0,0.0,,,294.0,161.0,15.0,10.0,4.0,0.0,26336
2016-04,New York,4181.0,0.0,11281.0,14660.0,881.0,205,0.0,0.0,1.0,0.0,19.0,22.0,0.0,0.0,0.0,0.0,,,320.0,201.0,8.0,1.0,8.0,1.0,31789
2016-03,New York,5302.0,0.0,12474.0,15134.0,1041.0,193,0.0,0.0,3.0,0.0,10.0,25.0,3.0,0.0,0.0,0.0,,,366.0,203.0,11.0,8.0,5.0,3.0,34781
2016-02,New York,4971.0,0.0,11963.0,15324.0,1130.0,203,0.0,0.0,1.0,0.0,18.0,18.0,3.0,0.0,0.0,0.0,,,333.0,211.0,12.0,3.0,5.0,0.0,34195
2016-01,New York,4535.0,,12020.0,15461.0,1192.0,200,0.0,2.0,0.0,0.0,25.0,21.0,5.0,0.0,0.0,0.0,,,304.0,265.0,23.0,7.0,11.0,0.0,34071
2015-12,New York,3366.0,,15179.0,27786.0,1300.0,251,0.0,2.0,0.0,0.0,26.0,24.0,1.0,0.0,0.0,0.0,,,334.0,220.0,13.0,9.0,3.0,1.0,48515
2015-11,New York,2906.0,,8650.0,23519.0,665.0,149,0.0,0.0,3.0,0.0,16.0,25.0,0.0,0.0,0.0,0.0,,,243.0,220.0,16.0,5.0,4.0,0.0,36421
2015-10,New York,3803.0,,8329.0,19836.0,590.0,171,0.0,0.0,1.0,0.0,8.0,21.0,1.0,0.0,0.0,0.0,,,289.0,202.0,7.0,7.0,17.0,0.0,33282
2015-09,New York,3639.0,,7532.0,15898.0,544.0,132,0.0,2.0,0.0,0.0,13.0,14.0,0.0,0.0,1.0,0.0,,,225.0,191.0,5.0,4.0,3.0,1.0,28204
2015-08,New York,3074.0,,7501.0,12410.0,492.0,122,0.0,1.0,1.0,0.0,10.0,10.0,0.0,0.0,1.0,1.0,,,200.0,138.0,9.0,3.0,5.0,0.0,23978
2015-07,New York,2843.0,,8140.0,9957.0,416.0,114,0.0,0.0,1.0,0.0,11.0,7.0,1.0,1.0,0.0,0.0,,,202.0,119.0,4.0,1.0,4.0,0.0,21821
2015-06,New York,3222.0,,8140.0,10400.0,444.0,150,0.0,0.0,0.0,0.0,12.0,11.0,1.0,0.0,0.0,0.0,,,207.0,114.0,6.0,2.0,8.0,0.0,22717
2015-05,New York,2788.0,,7767.0,10516.0,449.0,114,0.0,0.0,0.0,0.0,8.0,13.0,1.0,0.0,0.0,0.0,,,174.0,134.0,5.0,0.0,6.0,2.0,21977
2015-04,New York,3186.0,,9004.0,13499.0,557.0,149,0.0,1.0,2.0,0.0,10.0,11.0,2.0,0.0,0.0,0.0,,,249.0,133.0,2.0,4.0,9.0,,26818
2015-03,New York,4253.0,,9776.0,14574.0,663.0,154,0.0,0.0,0.0,0.0,14.0,14.0,2.0,0.0,0.0,0.0,,,265.0,151.0,8.0,3.0,12.0,,29889
2015-02,New York,2886.0,,8512.0,13343.0,643.0,153,0.0,1.0,1.0,0.0,9.0,18.0,1.0,0.0,0.0,0.0,,,197.0,136.0,13.0,3.0,4.0,0.0,25920
2015-01,New York,3923.0,,9002.0,12478.0,597.0,141,0.0,0.0,1.0,0.0,9.0,16.0,1.0,0.0,0.0,0.0,,,189.0,121.0,11.0,4.0,13.0,0.0,26506
2014-12,New York,2978.0,,9349.0,21403.0,604.0,164,0.0,0.0,0.0,0.0,10.0,20.0,3.0,,,,,,183.0,118.0,4.0,6.0,7.0,0.0,34849
2014-11,New York,3233.0,,6959.0,22126.0,489.0,145,0.0,0.0,0.0,0.0,4.0,27.0,6.0,,,,,,132.0,128.0,3.0,2.0,6.0,0.0,33260
2014-10,New York,3703.0,,8190.0,21900.0,392.0,152,0.0,1.0,1.0,0.0,7.0,19.0,0.0,,,,,,153.0,127.0,6.0,6.0,2.0,0.0,34659
2014-09,New York,3488.0,,7350.0,16835.0,455.0,125,0.0,0.0,1.0,0.0,12.0,13.0,2.0,,,,,,167.0,116.0,3.0,4.0,4.0,0.0,28575
2014-08,New York,5904.0,,7025.0,13388.0,415.0,124,0.0,0.0,1.0,1.0,9.0,19.0,0.0,,,,0.0,,148.0,93.0,3.0,2.0,7.0,0.0,27139
2014-07,New York,9454.0,,7428.0,9573.0,338.0,90,0.0,0.0,0.0,0.0,13.0,19.0,0.0,,,,,,123.0,70.0,7.0,4.0,7.0,0.0,27126
2014-06,New York,6899.0,,6991.0,9201.0,343.0,123,0.0,1.0,0.0,0.0,7.0,13.0,0.0,0.0,,,,,136.0,82.0,7.0,2.0,5.0,,23810
2014-05,New York,6387.0,,8008.0,10682.0,444.0,111,0.0,1.0,0.0,0.0,5.0,14.0,0.0,,,,,,131.0,95.0,7.0,2.0,2.0,,25889
2014-04,New York,19290.0,,8812.0,14214.0,682.0,159,0.0,0.0,2.0,0.0,5.0,17.0,0.0,,,,,,148.0,97.0,2.0,4.0,1.0,,43433
2014-03,New York,7078.0,,9717.0,15665.0,913.0,158,0.0,0.0,0.0,0.0,5.0,16.0,1.0,0.0,0.0,,,,166.0,90.0,7.0,,3.0,0.0,33819
2014-02,New York,4043.0,,8553.0,13614.0,731.0,149,0.0,3.0,0.0,0.0,10.0,26.0,2.0,,,,,,106.0,65.0,7.0,3.0,5.0,0.0,27317
2014-01,New York,4196.0,,8356.0,11964.0,704.0,137,0.0,0.0,2.0,0.0,3.0,8.0,0.0,,,,0.0,,106.0,63.0,5.0,5.0,2.0,,25551
